SIFID,d15N,d13C,WtN,WtC,CN,Comments,fishID,SampType,Stream,SampYR,SampDate,SiteID,SpecCode,TL_mm,Wt_g,Sex,Source,d13C.norm,trophic
2016_F029,12.010338,-27.6620775,10.20408333,40.15319052,3.935012018,NA,2016-LR08-WHS-09,BODY,Laramie,2016,9/2/16,LR08,WHS,NA,NA,UNK,Maitland,-27.0864156,NA
2016_F030,12.3185536,-26.4159095,10.92748299,38.44392114,3.518094805,NA,2016-LR08-WHS-10,BODY,Laramie,2016,9/2/16,LR08,WHS,46,NA,UNK,Maitland,-26.25299564,NA
2016_F031,11.8872519,-27.998907,14.26040427,49.34300315,3.460140557,NA,2016-LR08-LNS-16,M1,Laramie,2016,9/2/16,LR08,LNS,146,28,UNK,Maitland,-27.998907,NA
2016_F036,11.6460832,-28.14254,12.20925448,45.7588923,3.747885865,NA,2016-LR08-RDS-18,BODY,Laramie,2016,9/2/16,LR08,RDS,54,1,UNK,Maitland,-27.75213299,NA
2016_F037,11.7961882,-29.7963425,11.63831426,51.09776654,4.390478328,NA,2016-LR08-RDS-19,BODY,Laramie,2016,9/2/16,LR08,RDS,56,1,UNK,Maitland,-28.76976896,NA
2016_F044,11.9042638,-27.406168,11.53851299,48.62161778,4.213854751,NA,2016-LR08-RDS-76,BODY,Laramie,2016,9/2/16,LR08,RDS,51,1.24,UNK,Maitland,-26.5544518,NA
2016_F045,11.5330041,-26.7213825,12.68501561,46.82175204,3.691107166,NA,2016-LR08-RDS-77,BODY,Laramie,2016,9/2/16,LR08,RDS,41,0.98,UNK,Maitland,-26.38718641,NA
2016_F046,12.8459225,-27.280742,12.5628889,48.87197708,3.890186204,NA,2016-LR08-CKC-54,BODY,Laramie,2016,9/2/16,LR08,CKC,57,1.87,UNK,Maitland,-26.74945766,NA
2016_F047,12.4346348,-27.19173,12.16763143,48.8853849,4.017658257,NA,2016-LR08-CKC-55,BODY,Laramie,2016,9/2/16,LR08,CKC,51,1.37,UNK,Maitland,-26.53424833,NA
2016_F053,11.5520174,-28.0262175,12.00841064,48.72662693,4.057708251,NA,2016-LR08-SDS-78,BODY,Laramie,2016,9/2/16,LR08,SDS,61,1.88,UNK,Maitland,-27.32908633,NA
2016_F054,11.8542288,-29.0235565,11.79914724,50.12661633,4.248325349,NA,2016-LR08-SDS-77,BODY,NA,NA,NA,NA,NA,NA,NA,NA,Maitland,-28.1377144,NA
2016_F055,12.0013317,-27.260512,12.10005275,48.05889866,3.971792491,NA,2016-LR08-SDS-80,BODY,Laramie,2016,9/2/16,LR08,SDS,60,1.83,UNK,Maitland,-26.64843743,NA
2016_F056,11.3593408,-29.369871,13.89910675,50.09643311,3.604291556,NA,2016-LR08-GZD-20,M1,NA,NA,NA,NA,NA,NA,NA,NA,Maitland,-29.12162236,NA
2016_F058,11.5531856,-28.6756575,13.13252252,49.90034271,3.799753067,NA,2016-LR08-GZD-21,M1,NA,NA,NA,NA,NA,NA,NA,NA,Maitland,-28.23390196,NA
2016_F061,8.3007896,-27.340787,12.20614565,44.94489667,3.682153068,NA,2016-LR04-LND-61,BODY,NA,NA,NA,NA,NA,NA,NA,NA,Maitland,-27.01545546,NA
2016_F064,9.6996696,-26.9921645,14.23038505,48.82699227,3.431178573,NA,2016-LR04-BNT-01,M1,Laramie,2016,8/28/16,LR04,BNT,315,316,UNK,Maitland,-26.9921645,NA
2016_F067,9.8345616,-25.055036,14.76076518,47.20910419,3.19828299,NA,2016-LR04-BNT-02,M1,Laramie,2016,8/28/16,LR04,BNT,309,300,UNK,Maitland,-25.055036,NA
2016_F070,9.5358008,-27.1942645,16.06301694,51.65372473,3.215692601,NA,2016-LR04-BNT-18,M1,Laramie,2016,8/28/16,LR04,BNT,137,21,UNK,Maitland,-27.1942645,NA
2016_F074,NA,NA,NA,NA,NA,Sample lost during the analysis. Rerun the sample.,2016-LR04-BNT-20,BODY,Laramie,2016,8/28/16,LR04,BNT,60,2,UNK,Maitland,NA,NA
2016_F075,8.8883192,-26.8931355,14.33232343,47.43839847,3.309888917,NA,2016-LR04-BNT-21,M1,Laramie,2016,8/28/16,LR04,BNT,103,10,UNK,Maitland,-26.8931355,NA
2016_F077,8.7434352,-26.714277,14.53699729,47.04874387,3.236482951,NA,2016-LR04-BNT-22,M1,Laramie,2016,8/28/16,LR04,BNT,110,11,UNK,Maitland,-26.714277,NA
2016_F079,8.003028,-25.9250765,12.69170704,46.89073656,3.694596512,NA,2016-LR04-BNT-23,BODY,Laramie,2016,8/28/16,LR04,BNT,69,2,UNK,Maitland,-25.58742595,NA
2016_F080,8.8313648,-25.6865985,14.67285965,48.12737475,3.280026928,NA,2016-LR04-BNT-24,M1,Laramie,2016,8/28/16,LR04,BNT,117,17,UNK,Maitland,-25.6865985,NA
2016_F085,7.543396,-25.9392235,12.74074166,47.04724938,3.692661749,NA,2016-LR04-BNT-27,BODY,Laramie,2016,8/28/16,LR04,BNT,79,1,UNK,Maitland,-25.60348837,NA
2016_F086,8.1938752,-26.008948,13.09609935,47.21041788,3.604922094,NA,2016-LR04-BNT-28,BODY,Laramie,2016,8/28/16,LR04,BNT,55,1,UNK,Maitland,-25.76007513,NA
2016_F087,7.5174168,-25.418816,12.85960572,45.18174201,3.513462464,NA,2016-LR04-BNT-29,BODY,Laramie,2016,8/28/16,LR04,BNT,52,1,UNK,Maitland,-25.26048816,NA
2016_F088,7.7042672,-25.3753645,12.98632516,46.57832096,3.586720678,NA,2016-LR04-BNT-30,BODY,Laramie,2016,8/28/16,LR04,BNT,47,1,UNK,Maitland,-25.14451103,NA
2016_F089,8.3797264,-27.922835,14.61763153,48.01798284,3.284935917,NA,2016-LR04-WHS-06,M1,Laramie,2016,8/28/16,LR04,WHS,185,72.42,UNK,Maitland,-27.922835,NA
2016_F092,8.4556656,-28.3603815,14.81679393,49.14349105,3.316742561,NA,2016-LR04-WHS-07,M1,Laramie,2016,8/28/16,LR04,WHS,154,42,UNK,Maitland,-28.3603815,NA
2016_F095,8.0210136,-26.0180425,14.56035633,48.02401086,3.298271674,NA,2016-LR04-WHS-08,M1,Laramie,2016,8/28/16,LR04,WHS,143,30,UNK,Maitland,-26.0180425,NA
2016_F097,8.1399184,-25.762386,14.50483252,47.64834389,3.284997867,NA,2016-LR04-WHS-09,M1,Laramie,2016,8/28/16,LR04,WHS,133,20,UNK,Maitland,-25.762386,NA
2016_F099,8.492636,-25.8280685,14.62842268,48.4979068,3.31532031,NA,2016-LR04-WHS-10,M1,Laramie,2016,8/28/16,LR04,WHS,119,14,UNK,Maitland,-25.8280685,NA
2016_F103,8.3157776,-25.8139215,14.60442798,48.4143577,3.31504649,NA,2016-LR04-WHS-12,M1,Laramie,2016,8/28/16,LR04,WHS,93,9.89,UNK,Maitland,-25.8139215,NA
2016_F105,7.4594632,-24.974196,9.272105057,31.23008322,3.368176161,NA,2016-LR04-WHS-13,M1,Laramie,2016,8/28/16,LR04,WHS,81,4.46,UNK,Maitland,-24.974196,NA
2016_F107,9.38692,-26.1110085,14.99110123,49.15705671,3.279082435,NA,2016-LR04-CKC-03,M1,Laramie,2016,8/28/16,LR04,CKC,143,33,UNK,Maitland,-26.1110085,NA
2016_F109,9.68668,-27.5135825,14.61042255,48.16831295,3.296845987,NA,2016-LR04-CKC-04,M1,Laramie,2016,8/28/16,LR04,CKC,137,23,UNK,Maitland,-27.5135825,NA
2016_F111,9.1161368,-25.7795645,15.00094281,49.37359001,3.291365791,NA,2016-LR04-CKC-05,M1,Laramie,2016,8/28/16,LR04,CKC,110,14,UNK,Maitland,-25.7795645,NA
2016_F113,8.4736512,-26.455589,11.20643878,46.03712619,4.108095988,NA,2016-LR04-CKC-14,BODY,Laramie,2016,8/28/16,LR04,CKC,82,4,UNK,Maitland,-25.70857397,NA
2016_F115,9.2700136,-25.877583,19.21473444,64.31005199,3.346913391,NA,2016-LR04-CKC-16,M1,Laramie,2016,8/28/16,LR04,CKC,106,13,UNK,Maitland,-25.877583,NA
2016_F118,9.057184,-27.2488315,13.76291409,48.54671181,3.527357032,NA,2016-LR04-CSH-31,M1,Laramie,2016,8/28/16,LR04,CSH,101,8,UNK,Maitland,-27.07674804,NA
2016_F120,10.2500872,-24.6373689,15.12591964,48.71690112,3.220756309,NA,2016-MB02-BNT-01,M1,MedBow,2016,8/24/16,MB02,BNT,395,>500,UNK,Maitland,-24.6373689,NA
2016_F120,10.2500872,-24.6373689,15.12591964,48.71690112,3.220756309,NA,2016-MB02-BNT-01,M1,MedBow,2016,8/24/16,MB02,BNT,141,30.15,M,Maitland,-24.6373689,NA
2016_F123,9.4295798,-24.893582,14.75508121,49.15295893,3.331256414,NA,2016-MB02-BNT-02,M1,MedBow,2016,8/24/16,MB02,BNT,365,>500,UNK,Maitland,-24.893582,NA
2016_F123,9.4295798,-24.893582,14.75508121,49.15295893,3.331256414,NA,2016-MB02-BNT-02,M1,MedBow,2016,8/24/16,MB02,BNT,215,133.94,UNK,Maitland,-24.893582,NA
2016_F126,9.8213446,-24.8237057,14.66923878,47.97330043,3.270333324,NA,2016-MB02-BNT-03,M1,MedBow,2016,8/24/16,MB02,BNT,352,496,UNK,Maitland,-24.8237057,NA
2016_F129,9.3756122,-24.7467405,15.12605659,48.98006309,3.238125072,NA,2016-MB02-BNT-04,M1,MedBow,2016,8/24/16,MB02,BNT,390,>500,UNK,Maitland,-24.7467405,NA
2016_F132,8.1313592,-25.4444908,14.58088304,47.66901721,3.269281913,NA,2016-MB02-BNT-05,M1,MedBow,2016,8/24/16,MB02,BNT,169,52.17,UNK,Maitland,-25.4444908,NA
2016_F134,8.982848,-25.4110717,14.63282798,48.43882472,3.310284572,NA,2016-MB02-BNT-06,M1,MedBow,2016,8/24/16,MB02,BNT,257,177.23,UNK,Maitland,-25.4110717,NA
2016_F137,8.9798498,-25.977171,14.63572205,48.13587193,3.288930452,NA,2016-MB02-BNT-07,M1,MedBow,2016,8/24/16,MB02,BNT,174,56.34,UNK,Maitland,-25.977171,NA
2016_F139,8.2752728,-26.3184509,14.50393427,47.75539558,3.292582185,NA,2016-MB02-BNT-08,M1,MedBow,2016,8/24/16,MB02,BNT,145,32.65,UNK,Maitland,-26.3184509,NA
2016_F141,8.1123706,-26.3336414,14.65030361,47.79249259,3.262218577,NA,2016-MB02-BNT-09,M1,MedBow,2016,8/24/16,MB02,BNT,158,43.02,UNK,Maitland,-26.3336414,NA
2016_F144,8.8359362,-28.5372766,14.59985947,48.43897756,3.317770123,NA,2016-LR04-WHS-51,M1,Laramie,2016,8/28/16,LR04,WHS,279,253.13,UNK,Maitland,-28.5372766,NA
2016_F147,8.393202,-27.5883767,14.13574601,48.57837661,3.436562637,NA,2016-LR04-WHS-52,M1,Laramie,2016,8/28/16,LR04,WHS,317,NA,UNK,Maitland,-27.5883767,NA
2016_F150,9.1237634,-29.7454277,13.71390806,50.31950613,3.669231696,NA,2016-LR04-BNT-53,M1,Laramie,2016,8/28/16,LR04,BNT,196,78.99,UNK,Maitland,-29.43288832,NA
2016_F153,8.8769116,-28.9048867,14.61468124,49.46194417,3.384401161,NA,2016-LR04-BNT-54,M1,Laramie,2016,8/28/16,LR04,BNT,171,51.98,UNK,Maitland,-28.9048867,NA
