SiteID,SpecCode,IndividID,d15N,d13C,WtN,WtC,CN,SampType,SampDate,SampYR,fishID,TL_mm,trophic,SpecimenID,Comments
Private Ranch,CKC,507,12.9,-24.6,14.5,47.5,3.3,M1,8/1/13,2013,0813gbCKC22,,Fish,507,
Private Ranch,CKC,508,10.9,-26.4,14.4,47.7,3.3,M1,8/1/13,2013,0813gbCKC14,,Fish,508,
Private Ranch,CKC,509,10.6,-27,14.6,50.1,3.4,M1,8/1/13,2013,0813gbCKC08,,Fish,509,
Private Ranch,CKC,510,12.3,-26.8,14.4,48.4,3.4,M1,8/1/13,2013,0813gbCKC19,,Fish,510,
Private Ranch,CKC,511,12.8,-26.1,14.5,48.8,3.4,M1,8/1/13,2013,0813gbCKC07,,Fish,511,
Private Ranch,CKC,512,12.1,-27.1,14.6,47.9,3.3,M1,8/1/13,2013,0813gbCKC06,,Fish,512,
Greenbelt,LNS,516,12.1,-30.1,14.4,49.1,3.4,M1,8/1/13,2013,0813gbLNS07,,Fish,516,
Greenbelt,LNS,517,12.7,-29.8,14,47.6,3.4,M1,8/1/13,2013,0813gbLNS08,,Fish,517,
Greenbelt,LNS,519,13,-28.6,14,48.4,3.5,M1,8/1/13,2013,0813gbLNS10,,Fish,519,
Greenbelt,LNS,524,12.5,-28.6,13.9,48.1,3.5,M1,8/1/13,2013,0813gbLNS15,,Fish,524,
Greenbelt,LNS,525,12.4,-30.2,14.1,48.3,3.4,M1,8/1/13,2013,0813gbLNS16,,Fish,525,
Greenbelt,LNS,529,11.3,-30.9,14,48.6,3.5,M1,8/1/13,2013,0813gbLNS20,,Fish,529,
Greenbelt,LNS,530,10.9,-29.8,13.6,47.1,3.5,M1,8/1/13,2013,0813gbLNS21,,Fish,530,
Greenbelt,CKC,532,12.4,-26.9,14.7,48.8,3.3,M1,8/1/13,2013,0813gbCKC23,,Fish,532,
Greenbelt,CKC,533,12.5,-24.9,14.1,46.3,3.3,M1,8/1/13,2013,0813gbCKC24,,Fish,533,
Private Ranch,WHS,534,8.5,-27.8,14.6,49,3.4,M1,8/1/13,2013,0813mmWHS04,,Fish,534,
Private Ranch,WHS,535,8.5,-27.6,13.9,47.1,3.4,M1,8/1/13,2013,0813mmWHS05,,Fish,535,
Private Ranch,WHS,536,8.6,-27.8,14.5,47.8,3.3,M1,8/1/13,2013,0813mmWHS06,,Fish,536,
Private Ranch,WHS,537,8.8,-27.7,14.6,48.5,3.3,M1,8/1/13,2013,0813mmWHS07,,Fish,537,
Private Ranch,WHS,538,8.4,-28.7,14.4,48.2,3.3,M1,8/1/13,2013,0813mmWHS08,,Fish,538,
Private Ranch,WHS,539,8.4,-29.2,14.1,46.9,3.3,M1,8/1/13,2013,0813mmWHS09,,Fish,539,
Private Ranch,WHS,540,8.7,-27.8,14.6,48.6,3.3,M1,8/1/13,2013,0813mmWHS10,,Fish,540,
Private Ranch,WHS,541,8.8,-28.9,14.5,47.9,3.3,M1,8/1/13,2013,0813mmWHS11,,Fish,541,
Private Ranch,WHS,542,8.2,-27.7,13.6,45.5,3.4,M1,8/1/13,2013,0813mmWHS12,,Fish,542,
Private Ranch,WHS,543,8.2,-27.4,14.3,47.2,3.3,M1,8/1/13,2013,0813mmWHS13,,Fish,543,
Private Ranch,WHS,544,8.4,-27.9,14.6,48.7,3.3,M1,8/1/13,2013,0813mmWHS14,,Fish,544,
Private Ranch,WHS,545,8.4,-28.5,14.1,47.4,3.4,M1,8/1/13,2013,0813mmWHS15,,Fish,545,
Private Ranch,WHS,546,8.1,-29,14.4,49,3.4,M1,8/1/13,2013,0813mmWHS16,,Fish,546,
Private Ranch,WHS,547,8.6,-27.8,14.8,48.3,3.3,M1,8/1/13,2013,0813mmWHS17,,Fish,547,Replicate samples.
Private Ranch,WHS,547,8.5,-27.8,14.8,48.7,3.3,M1,8/1/13,2013,0813mmWHS17,,Fish,547,Replicate samples.
Private Ranch,WHS,548,8,-28.5,14.5,48.2,3.3,M1,8/1/13,2013,0813mmWHS18,,Fish,548,Replicate samples.
Private Ranch,WHS,548,8,-28.4,14.6,48.5,3.3,M1,8/1/13,2013,0813mmWHS18,,Fish,548,Replicate samples.
Private Ranch,WHS,549,8,-29.7,14.6,48.6,3.3,M1,8/1/13,2013,0813mmWHS19,,Fish,549,
Private Ranch,WHS,550,8.1,-28.3,14,46.4,3.3,M1,8/1/13,2013,0813mmWHS20,,Fish,550,
Private Ranch,WHS,551,8.3,-28.3,14.3,47.2,3.3,M1,8/1/13,2013,0813mmWHS21,,Fish,551,
Private Ranch,WHS,552,8.4,-28.1,14.2,47.1,3.3,M1,8/1/13,2013,0813mmWHS22,,Fish,552,
Private Ranch,WHS,553,8.4,-27.8,14.7,47.5,3.2,M1,8/1/13,2013,0813mmWHS23,,Fish,553,
Greenbelt,LND,554,11.6,-28.7,14,47,3.4,M1,8/1/13,2013,0813gbLND04,,Fish,554,
Greenbelt,LND,555,10.9,-29.4,14.1,48.6,3.5,M1,8/1/13,2013,0813gbLND05,,Fish,555,
Greenbelt,LND,556,11.1,-28.8,14,46.4,3.3,M1,8/1/13,2013,0813gbLND06,,Fish,556,
Greenbelt,LND,557,11.8,-29.1,14.1,47.6,3.4,M1,8/1/13,2013,0813gbLND07,,Fish,557,Replicate samples.
Greenbelt,LND,557,11.7,-29.1,14,47.4,3.4,M1,8/1/13,2013,0813gbLND07,,Fish,557,Replicate samples.
Greenbelt,LND,558,12,-28.9,13.9,48.3,3.5,M1,8/1/13,2013,0813gbLND08,,Fish,558,
Greenbelt,LND,559,11.9,-28.4,14.2,47.4,3.3,M1,8/1/13,2013,0813gbLND09,,Fish,559,
Greenbelt,LND,560,11.8,-27.6,13.9,47.6,3.4,M1,8/1/13,2013,0813gbLND10,,Fish,560,
Greenbelt,LND,561,11.7,-27.6,14.2,47.9,3.4,M1,8/1/13,2013,0813gbLND11,,Fish,561,
Greenbelt,LND,562,12.2,-28.8,13.6,45.6,3.3,M1,8/1/13,2013,0813gbLND12,,Fish,562,
